weathersit,n_rows,MAE,RMSE,mean_residual
1,2818.0,59.740999033116914,82.9736683211079,37.36064605211688
2,1268.0,61.66443299109586,85.37151576711013,36.6284527724955
3,290.0,79.14078570018381,112.85014867704388,36.38489294681961
