model,MAE,RMSE,R2,RMSE_improvement_vs_Dummy_%
Ridge_Baseline,104.65462417699587,146.23031873390195,0.4407338874360991,29.748804134502127
Ridge_EnhancedCyc,111.18445859880669,169.4309363376296,0.24919168501132793,18.602886204541957
DummyMean,154.23179306864967,208.15349394745226,-0.133211731928486,0.0
